"affy_hg_u133_plus_2"	"hgnc_symbol"
"13180"	"220201_at"	"RC3H2"
"13181"	"230133_at"	"RC3H2"
"13182"	"1564674_a_at"	"CDC20B"
"13183"	"1553655_at"	"CDC20B"
"13184"	"1555346_at"	"CDC20B"
"13185"	"206426_at"	"MLANA"
"13186"	"206427_s_at"	"MLANA"
"13187"	"1560320_a_at"	"C1RL-AS1"
"13188"	"1564224_x_at"	"C1RL-AS1"
"13189"	"201393_s_at"	"IGF2R"
"13190"	"201392_s_at"	"IGF2R"
"13191"	"1569052_at"	"IGF2R"
"13192"	"226926_at"	"DMKN"
"13193"	"209111_at"	"RNF5"
"13194"	"227248_at"	"PLEKHH3"
"13195"	"220259_at"	"PLEKHH3"
"13196"	"229086_at"	"ZNF436-AS1"
"13197"	"203955_at"	"PPP1R26"
"13198"	"235214_at"	"LURAP1"
"13199"	"1554006_a_at"	"LLGL2"
"13200"	"203713_s_at"	"LLGL2"
"13201"	"224110_at"	""
"13202"	"241367_at"	"TEX19"
"13203"	"231448_at"	"ADAD1"
"13204"	"202466_at"	"PAPD7"
"13205"	"220824_at"	""
"13206"	"235443_at"	"CKMT2-AS1"
"13207"	"242585_at"	"CKMT2-AS1"
"13208"	"202965_s_at"	"CAPN6"
"13209"	"202966_at"	"CAPN6"
"13210"	"211038_s_at"	"CROCCP2"
"13211"	"1569293_x_at"	"CROCCP2"
"13212"	"1569291_at"	"CROCCP2"
"13213"	"200990_at"	"TRIM28"
"13214"	"240043_at"	"PRR32"
"13215"	"1564403_at"	"GVQW1"
"13216"	"224910_at"	"CARHSP1"
"13217"	"218384_at"	"CARHSP1"
"13218"	"1570084_at"	""
"13219"	"1563263_at"	"PLCG2"
"13220"	"1557993_at"	"PLCG2"
"13221"	"230917_at"	"PLCG2"
"13222"	"204613_at"	"PLCG2"
"13223"	"220741_s_at"	"PPA2"
"13224"	"1556285_s_at"	"PPA2"
"13225"	"1556284_at"	"PPA2"
"13226"	"1554499_s_at"	"PPA2"
"13227"	"204071_s_at"	"TOPORS"
"13228"	"203344_s_at"	"RBBP8"
"13229"	"1569251_a_at"	"ZNF333"
"13230"	"1569250_at"	"ZNF333"
"13231"	"1559674_at"	"ZNF333"
"13232"	"1552375_at"	"ZNF333"
"13233"	"1563783_a_at"	"ZNF333"
"13234"	"205671_s_at"	"HLA-DOB"
"13235"	"231865_at"	"NCKAP5L"
"13236"	"1562457_at"	"NCKAP5L"
"13237"	"1554962_a_at"	"FGFR4"
"13238"	"211237_s_at"	"FGFR4"
"13239"	"204579_at"	"FGFR4"
"13240"	"1554961_at"	"FGFR4"
"13241"	"225898_at"	"WDR54"
"13242"	"226451_at"	"FDX1L"
"13243"	"231378_at"	""
"13244"	"220329_s_at"	"RMND1"
"13245"	"1555201_a_at"	"RMND1"
"13246"	"207305_s_at"	"TRAPPC8"
"13247"	"225909_at"	"ZNF775"
"13248"	"228226_s_at"	"ZNF775"
"13249"	"59631_at"	"TXNRD3"
"13250"	"221906_at"	"TXNRD3"
"13251"	"1569857_s_at"	"TPP2"
"13252"	"203374_s_at"	"TPP2"
"13253"	"203375_s_at"	"TPP2"
"13254"	"1564882_at"	"TPP2"
"13255"	"1569856_at"	"TPP2"
"13256"	"239503_at"	"CASC10"
"13257"	"1555923_a_at"	"CASC10"
"13258"	"1555922_at"	"CASC10"
"13259"	"1556247_a_at"	""
"13260"	"1563127_at"	"LINC01428"
"13261"	"203447_at"	"PSMD5"
"13262"	"218558_s_at"	"MRPL39"
"13263"	"223226_x_at"	"SSBP4"
"13264"	"229269_x_at"	"SSBP4"
"13265"	"229270_x_at"	"SSBP4"
"13266"	"203012_x_at"	"RPL23AP65"
"13267"	"208834_x_at"	"RPL23AP65"
"13268"	"213084_x_at"	"RPL23AP65"
"13269"	"208825_x_at"	"RPL23AP65"
"13270"	"1556165_at"	""
"13271"	"1556166_x_at"	""
"13272"	"1568843_at"	"TTLL13P"
"13273"	"240021_at"	"TTLL13P"
"13274"	"238008_at"	"PRR18"
"13275"	"1557424_at"	""
"13276"	"227151_at"	"SNX33"
"13277"	"229898_at"	"SNX33"
"13278"	"216250_s_at"	"LPXN"
"13279"	"238128_at"	""
"13280"	"1561408_at"	""
"13281"	"205289_at"	"BMP2"
"13282"	"205290_s_at"	"BMP2"
"13283"	"215785_s_at"	"CYFIP2"
"13284"	"220999_s_at"	"CYFIP2"
"13285"	"220505_at"	"CDKN2A-AS1"
"13286"	"211722_s_at"	"HDAC6"
"13287"	"206846_s_at"	"HDAC6"
"13288"	"216224_s_at"	"HDAC6"
"13289"	"205749_at"	"CYP1A1"
"13290"	"210664_s_at"	"TFPI"
"13291"	"209676_at"	"TFPI"
"13292"	"213258_at"	"TFPI"
"13293"	"210665_at"	"TFPI"
"13294"	"1556467_at"	""
"13295"	"241357_at"	"MAPK15"
"13296"	"241528_at"	"MAPK15"
"13297"	"241350_at"	"FBXL22"
"13298"	"202830_s_at"	"SLC37A4"
"13299"	"217289_s_at"	"SLC37A4"
"13300"	"227091_at"	"CCDC146"
"13301"	"205020_s_at"	"ARL4A"
"13302"	"214621_at"	"GYS2"
"13303"	"235394_at"	"PLAA"
"13304"	"209533_s_at"	"PLAA"
"13305"	"209532_at"	"PLAA"
"13306"	"243975_at"	""
"13307"	"221255_s_at"	"EMC6"
"13308"	"209075_s_at"	"ISCU"
"13309"	"210330_at"	"SGCD"
"13310"	"210329_s_at"	"SGCD"
"13311"	"230730_at"	"SGCD"
"13312"	"213543_at"	"SGCD"
"13313"	"228602_at"	"SGCD"
"13314"	"214492_at"	"SGCD"
"13315"	"1561369_at"	""
"13316"	"1563108_at"	""
"13317"	"1557383_a_at"	""
"13318"	"1552830_at"	"FBXO39"
"13319"	"219691_at"	"SAMD9"
"13320"	"228531_at"	"SAMD9"
"13321"	"238275_at"	"HAP1"
"13322"	"211604_x_at"	"HAP1"
"13323"	"211222_s_at"	"HAP1"
"13324"	"1559072_a_at"	"ELFN2"
"13325"	"1560713_a_at"	"ELFN2"
"13326"	"204116_at"	"IL2RG"
"13327"	"230700_at"	"RTN4RL1"
"13328"	"200883_at"	"UQCRC2"
"13329"	"212600_s_at"	"UQCRC2"
"13330"	"241755_at"	"UQCRC2"
"13331"	"215157_x_at"	"PABPC1"
"13332"	"202862_at"	"FAH"
"13333"	"236481_at"	"FAH"
"13334"	"1570262_at"	""
"13335"	"229099_at"	"UQCC3"
"13336"	"217753_s_at"	"RPS26"
"13337"	"207272_at"	"ZNF80"
"13338"	"224566_at"	"NEAT1"
"13339"	"214657_s_at"	"NEAT1"
"13340"	"234989_at"	"NEAT1"
"13341"	"224565_at"	"NEAT1"
"13342"	"220983_s_at"	"NEAT1"
"13343"	"225239_at"	"NEAT1"
"13344"	"227062_at"	"NEAT1"
"13345"	"239269_at"	"NEAT1"
"13346"	"238320_at"	"NEAT1"
"13347"	"201847_at"	"LIPA"
"13348"	"1561557_at"	"LIPA"
"13349"	"236156_at"	"LIPA"
"13350"	"201516_at"	"SRM"
"13351"	"232272_at"	"ZNF624"
"13352"	"200017_at"	"RPS27A"
"13353"	"242214_at"	"RPS27A"
"13354"	"244624_at"	"RPS27A"
"13355"	"221085_at"	"TNFSF15"
"13356"	"229242_at"	"TNFSF15"
"13357"	"228633_s_at"	"CNTROB"
"13358"	"234688_x_at"	"CNTROB"
"13359"	"231884_at"	"CNTROB"
"13360"	"220788_s_at"	""
"13361"	"203882_at"	""
"13362"	"222513_s_at"	"SORBS1"
"13363"	"211819_s_at"	"SORBS1"
"13364"	"218087_s_at"	"SORBS1"
"13365"	"211705_s_at"	"SORBS1"
"13366"	"210515_at"	"HNF1A"
"13367"	"216930_at"	"HNF1A"
"13368"	"229160_at"	"MUM1L1"
"13369"	"238574_at"	"SLC25A51"
"13370"	"232092_at"	"SLC25A51"
"13371"	"228249_at"	"C11orf74"
"13372"	"238291_at"	"UFL1"
"13373"	"212634_at"	"UFL1"
"13374"	"212633_at"	"UFL1"
"13375"	"1561165_a_at"	"DEFB108P4"
"13376"	"1552876_at"	"LINC00334"
"13377"	"1552877_s_at"	"LINC00334"
"13378"	"242507_at"	"UBXN7-AS1"
"13379"	"213651_at"	"INPP5J"
"13380"	"226723_at"	"SVBP"
"13381"	"244013_at"	"SVBP"
"13382"	"1553249_at"	"SMC1B"
"13383"	"1559702_at"	""
"13384"	"223866_at"	"ARMC2"
"13385"	"243663_at"	""
"13386"	"1557431_at"	""
"13387"	"226832_at"	"RNF168"
"13388"	"1553127_a_at"	"RNF168"
"13389"	"211476_at"	"MYOZ2"
"13390"	"213782_s_at"	"MYOZ2"
"13391"	"207148_x_at"	"MYOZ2"
"13392"	"235667_at"	"USP46-AS1"
"13393"	"1569722_s_at"	"PROSER2-AS1"
"13394"	"1557208_at"	"PROSER2-AS1"
"13395"	"1556123_a_at"	"RAB11B-AS1"
"13396"	"1556122_at"	"RAB11B-AS1"
"13397"	"218586_at"	"MRGBP"
"13398"	"239839_at"	"ZNF555"
"13399"	"1556187_at"	"ZNF555"
"13400"	"1553286_at"	"ZNF555"
"13401"	"1556188_a_at"	"ZNF555"
"13402"	"213801_x_at"	"RPSA"
"13403"	"215886_x_at"	"USP12PX"
"13404"	"205951_at"	"MYH1"
"13405"	"241535_at"	""
"13406"	"227177_at"	"CORO2A"
"13407"	"205538_at"	"CORO2A"
"13408"	"234521_at"	"OR51I2"
"13409"	"215697_at"	""
"13410"	"202373_s_at"	"RAB3GAP2"
"13411"	"202374_s_at"	"RAB3GAP2"
"13412"	"202372_at"	"RAB3GAP2"
"13413"	"237601_at"	""
"13414"	"210466_s_at"	"SERBP1P1"
"13415"	"1562436_at"	"CARS-AS1"
"13416"	"202783_at"	"NNT"
"13417"	"202784_s_at"	"NNT"
"13418"	"238530_at"	"NNT"
"13419"	"244531_at"	"NNT"
"13420"	"242356_at"	"VTI1A"
"13421"	"1552536_at"	"VTI1A"
"13422"	"235923_at"	"VTI1A"
"13423"	"236849_at"	"VTI1A"
"13424"	"235034_at"	"VTI1A"
"13425"	"214434_at"	"HSPA12A"
"13426"	"216631_s_at"	"HLA-DPA2"
"13427"	"205376_at"	"INPP4B"
"13428"	"235046_at"	"INPP4B"
"13429"	"223878_at"	"INPP4B"
"13430"	"218577_at"	"LRRC40"
"13431"	"222615_s_at"	"PRKRIP1"
"13432"	"218378_s_at"	"PRKRIP1"
"13433"	"229801_at"	"PROSER2"
"13434"	"230051_at"	"PROSER2"
"13435"	"226917_s_at"	"ANAPC4"
"13436"	"232524_x_at"	"ANAPC4"
"13437"	"1553340_s_at"	"SLC35G6"
"13438"	"218684_at"	"LRRC8D"
"13439"	"221797_at"	"OXLD1"
"13440"	"50374_at"	"OXLD1"
"13441"	"219127_at"	"PRR15L"
"13442"	"202605_at"	"GUSB"
"13443"	"209036_s_at"	"MDH2"
"13444"	"213333_at"	"MDH2"
"13445"	"217782_s_at"	"GPS1"
"13446"	"212374_at"	"FEM1B"
"13447"	"212367_at"	"FEM1B"
"13448"	"212373_at"	"FEM1B"
"13449"	"1554192_s_at"	"TRMT44"
"13450"	"235097_at"	"TRMT44"
"13451"	"236441_at"	""
"13452"	"1563181_a_at"	"CALY"
"13453"	"219896_at"	"CALY"
"13454"	"226113_at"	"ZNF436"
"13455"	"226114_at"	"ZNF436"
"13456"	"236782_at"	""
"13457"	"204283_at"	"FARS2"
"13458"	"204282_s_at"	"FARS2"
"13459"	"215608_at"	""
"13460"	"218023_s_at"	"FAM53C"
"13461"	"237392_at"	"FGF14-IT1"
"13462"	"231355_at"	"CACNG8"
"13463"	"234756_at"	"CACNG8"
"13464"	"1553875_s_at"	"ZSCAN10"
"13465"	"1553874_a_at"	"ZSCAN10"
"13466"	"221453_at"	"G6PC2"
"13467"	"227703_s_at"	"SYTL4"
"13468"	"1563513_at"	"SYTL4"
"13469"	"237147_at"	""
"13470"	"222138_s_at"	"WDR13"
"13471"	"238782_at"	"WDR13"
"13472"	"219429_at"	"FA2H"
"13473"	"234963_s_at"	"FA2H"
"13474"	"232881_at"	"GNAS-AS1"
"13475"	"227102_at"	"TRIM35"
"13476"	"209624_s_at"	"MCCC2"
"13477"	"209623_at"	"MCCC2"
"13478"	"1560033_at"	"MCCC2"
"13479"	"230814_at"	"C19orf81"
"13480"	"204925_at"	"CTNS"
"13481"	"36566_at"	"CTNS"
"13482"	"219836_at"	"ZBED2"
"13483"	"221008_s_at"	"ETNPPL"
"13484"	"204137_at"	"GPR137B"
"13485"	"209350_s_at"	"GPS2"
"13486"	"213757_at"	"GPS2"
"13487"	"242687_at"	"FAM160A1"
"13488"	"1569465_at"	"FAM160A1"
"13489"	"210168_at"	"C6"
"13490"	"223759_s_at"	"GSG2"
"13491"	"223346_at"	"VPS18"
"13492"	"1552276_a_at"	"VPS18"
"13493"	"202388_at"	"RGS2"
"13494"	"1554739_at"	""
"13495"	"241434_at"	""
"13496"	"241393_at"	""
"13497"	"240376_s_at"	"PKD1P5"
"13498"	"211167_s_at"	"GCK"
"13499"	"203067_at"	"PDHX"
"13500"	"1570281_at"	""
"13501"	"1562760_at"	""
"13502"	"218874_s_at"	"ATAT1"
"13503"	"228510_at"	"ATAT1"
"13504"	"234784_at"	""
"13505"	"1556636_at"	""
"13506"	"241510_at"	""
"13507"	"212626_x_at"	"HNRNPC"
"13508"	"200751_s_at"	"HNRNPC"
"13509"	"200014_s_at"	"HNRNPC"
"13510"	"214737_x_at"	"HNRNPC"
"13511"	"227110_at"	"HNRNPC"
"13512"	"1568941_a_at"	"HNRNPC"
"13513"	"201400_at"	"PSMB3"
"13514"	"228281_at"	"DDIAS"
"13515"	"226936_at"	"CENPW"
"13516"	"202485_s_at"	"MBD2"
"13517"	"202484_s_at"	"MBD2"
"13518"	"214397_at"	"MBD2"
"13519"	"214396_s_at"	"MBD2"
"13520"	"203465_at"	"MRPL19"
"13521"	"238448_at"	"MRPL19"
"13522"	"1561278_at"	"LINC01613"
"13523"	"212387_at"	"TCF4"
"13524"	"212386_at"	"TCF4"
"13525"	"203753_at"	"TCF4"
"13526"	"213891_s_at"	"TCF4"
"13527"	"212385_at"	"TCF4"
"13528"	"228837_at"	"TCF4"
"13529"	"212382_at"	"TCF4"
"13530"	"222146_s_at"	"TCF4"
"13531"	"227043_at"	"CCDC159"
"13532"	"236824_at"	"TMEM132B"
"13533"	"236468_at"	"TMEM132B"
"13534"	"1563488_at"	"TMEM132B"
"13535"	"224974_at"	"SUDS3"
"13536"	"233841_s_at"	"SUDS3"
"13537"	"205554_s_at"	"DNASE1L3"
"13538"	"1561336_at"	"DNASE1L3"
"13539"	"224239_at"	"DEFB103B"
"13540"	"203034_s_at"	"RPL27A"
"13541"	"223707_at"	"RPL27A"
"13542"	"244596_at"	""
"13543"	"212661_x_at"	"PPIA"
"13544"	"201293_x_at"	"PPIA"
"13545"	"211978_x_at"	"PPIA"
"13546"	"211765_x_at"	"PPIA"
"13547"	"211378_x_at"	"PPIA"
"13548"	"226336_at"	"PPIA"
"13549"	"217602_at"	"PPIA"
"13550"	"215929_at"	"LINC00837"
"13551"	"220050_at"	"C9orf9"
"13552"	"214012_at"	"ERAP1"
"13553"	"214034_at"	"ERAP1"
"13554"	"210385_s_at"	"ERAP1"
"13555"	"209788_s_at"	"ERAP1"
"13556"	"227860_at"	"CPXM1"
"13557"	"233736_at"	"OR51J1"
"13558"	"234777_at"	"OR51M1"
"13559"	"227047_x_at"	"ZBTB4"
"13560"	"225629_s_at"	"ZBTB4"
"13561"	"200652_at"	"SSR2"
"13562"	"217140_s_at"	"VDAC1P3"
"13563"	"217139_at"	"VDAC1P3"
"13564"	"211147_s_at"	"P2RX6"
"13565"	"206880_at"	"P2RX6"
"13566"	"200645_at"	""
"13567"	"212705_x_at"	"PNPLA2"
"13568"	"39854_r_at"	"PNPLA2"
"13569"	"1570046_at"	""
"13570"	"210654_at"	"TNFRSF10D"
"13571"	"227345_at"	"TNFRSF10D"
"13572"	"207439_s_at"	"SLC35A2"
"13573"	"207440_at"	"SLC35A2"
"13574"	"209326_at"	"SLC35A2"
"13575"	"241672_at"	"SERTM1"
"13576"	"1562738_a_at"	"USP3-AS1"
"13577"	"207186_s_at"	"BPTF"
"13578"	"209271_at"	"BPTF"
"13579"	"232909_s_at"	"BPTF"
"13580"	"231953_at"	"BPTF"
"13581"	"230056_at"	"BPTF"
"13582"	"1556249_a_at"	"EIF1B-AS1"
"13583"	"1556248_at"	"EIF1B-AS1"
"13584"	"1557212_at"	"EIF1B-AS1"
"13585"	"205422_s_at"	"ITGBL1"
"13586"	"1557080_s_at"	"ITGBL1"
"13587"	"231993_at"	"ITGBL1"
"13588"	"214927_at"	"ITGBL1"
"13589"	"1562446_at"	"ZNF391"
"13590"	"215523_at"	"ZNF391"
"13591"	"221834_at"	"LONP2"
"13592"	"223099_s_at"	"LONP2"
"13593"	"223098_s_at"	"LONP2"
"13594"	"229663_at"	"LONP2"
"13595"	"221833_at"	"LONP2"
"13596"	"202790_at"	"CLDN7"
"13597"	"218075_at"	"AAAS"
"13598"	"227804_at"	"TLCD1"
"13599"	"1554627_a_at"	"ASCC1"
"13600"	"219336_s_at"	"ASCC1"
"13601"	"1562263_at"	""
"13602"	"226929_at"	"MTHFR"
"13603"	"206800_at"	"MTHFR"
"13604"	"217071_s_at"	"MTHFR"
"13605"	"239035_at"	"MTHFR"
"13606"	"217070_at"	"MTHFR"
"13607"	"224225_s_at"	"ETV7"
"13608"	"221680_s_at"	"ETV7"
"13609"	"211635_x_at"	"IGHV1-69"
"13610"	"211634_x_at"	"IGHV1-69"
"13611"	"240915_at"	"IGHV1-69"
"13612"	"219739_at"	"RNF186"
"13613"	"219027_s_at"	"MYO9A"
"13614"	"226203_at"	"MYO9A"
"13615"	"242512_at"	"MYO9A"
"13616"	"1553268_at"	"RHBDL3"
"13617"	"230755_at"	"RHBDL3"
"13618"	"1563135_at"	""
"13619"	"226629_at"	"SLC43A2"
"13620"	"228918_at"	"SLC43A2"
"13621"	"1562727_at"	""
"13622"	"201738_at"	"EIF1B"
"13623"	"214355_x_at"	"CTAGE9"
"13624"	"215549_x_at"	"CTAGE9"
"13625"	"226383_at"	"ARL14EP"
"13626"	"228089_x_at"	"TMEM179B"
"13627"	"1555486_a_at"	"PRR5L"
"13628"	"219383_at"	"PRR5L"
"13629"	"227770_at"	"COG8"
"13630"	"238863_x_at"	"COG8"
"13631"	"219575_s_at"	"COG8"
"13632"	"222021_x_at"	"SDHA"
"13633"	"201093_x_at"	"SDHA"
"13634"	"1553159_at"	"DNAH11"
"13635"	"238615_at"	"ERLIN2"
"13636"	"221543_s_at"	"ERLIN2"
"13637"	"221542_s_at"	"ERLIN2"
"13638"	"222239_s_at"	"INTS6P1"
"13639"	"205814_at"	"GRM3"
"13640"	"209832_s_at"	"CDT1"
"13641"	"228868_x_at"	"CDT1"
"13642"	"207693_at"	"CACNB4"
"13643"	"243244_at"	"CACNB4"
"13644"	"224981_at"	"TMEM219"
"13645"	"221299_at"	"GPR173"
"13646"	"1556038_at"	"GPR173"
"13647"	"1556039_s_at"	"GPR173"
"13648"	"244877_at"	"GPR173"
"13649"	"242038_at"	""
"13650"	"231313_at"	""
"13651"	"222452_s_at"	"GPBP1L1"
"13652"	"217877_s_at"	"GPBP1L1"
"13653"	"1569320_at"	"GPBP1L1"
"13654"	"1569983_at"	""
"13655"	"222209_s_at"	"TMEM135"
"13656"	"209931_s_at"	"MFSD2B"
"13657"	"206857_s_at"	"MFSD2B"
"13658"	"220973_s_at"	"SHARPIN"
"13659"	"1564637_a_at"	"FAM98B"
"13660"	"225086_at"	"FAM98B"
"13661"	"1553625_at"	"FAM98B"
"13662"	"225368_at"	"HIPK2"
"13663"	"219028_at"	"HIPK2"
"13664"	"225115_at"	"HIPK2"
"13665"	"224066_s_at"	"HIPK2"
"13666"	"213763_at"	"HIPK2"
"13667"	"225097_at"	"HIPK2"
"13668"	"225116_at"	"HIPK2"
"13669"	"224065_at"	"HIPK2"
"13670"	"240294_at"	"HIPK2"
"13671"	"221872_at"	"RARRES1"
"13672"	"206391_at"	"RARRES1"
"13673"	"206392_s_at"	"RARRES1"
"13674"	"237620_at"	"ODF3L2"
"13675"	"202958_at"	"PTPN9"
"13676"	"233226_at"	"PTPN9"
"13677"	"1561474_at"	""
"13678"	"225154_at"	"SYAP1"
"13679"	"1552954_at"	"C5orf17"
"13680"	"238551_at"	"FUT11"
"13681"	"226348_at"	"FUT11"
"13682"	"229440_at"	"RBM47"
"13683"	"218035_s_at"	"RBM47"
"13684"	"222496_s_at"	"RBM47"
"13685"	"229439_s_at"	"RBM47"
"13686"	"220971_at"	"IL25"
"13687"	"209949_at"	"NCF2"
"13688"	"218802_at"	"CCDC109B"
"13689"	"1564837_at"	""
"13690"	"1564838_a_at"	""
"13691"	"218616_at"	"INTS12"
"13692"	"243440_at"	"SIX3-AS1"
"13693"	"222873_s_at"	"EHMT1"
"13694"	"219339_s_at"	"EHMT1"
"13695"	"225461_at"	"EHMT1"
"13696"	"238294_at"	"EHMT1"
"13697"	"235591_at"	"SSTR1"
"13698"	"208482_at"	"SSTR1"
"13699"	"1564383_s_at"	""
"13700"	"220130_x_at"	"LTB4R2"
"13701"	"225514_at"	"LTB4R2"
"13702"	"207671_s_at"	"BEST1"
"13703"	"1554443_s_at"	"BEST1"
"13704"	"1554442_at"	"BEST1"
"13705"	"230482_at"	"ST6GALNAC5"
"13706"	"220979_s_at"	"ST6GALNAC5"
"13707"	"205744_at"	"DOC2A"
"13708"	"208644_at"	"PARP1"
"13709"	"205099_s_at"	"CCR1"
"13710"	"205098_at"	"CCR1"
"13711"	"222056_s_at"	"FAHD2A"
"13712"	"218504_at"	"FAHD2A"
"13713"	"235621_at"	"FAHD2A"
"13714"	"235418_at"	"FAHD2A"
"13715"	"222055_at"	"FAHD2A"
"13716"	"1554768_a_at"	"MAD2L1"
"13717"	"203362_s_at"	"MAD2L1"
"13718"	"236312_at"	"MAD2L1"
"13719"	"228149_at"	"C7orf60"
"13720"	"242679_at"	"TTN-AS1"
"13721"	"1556043_a_at"	"TTN-AS1"
"13722"	"242771_at"	"TTN-AS1"
"13723"	"1555945_s_at"	"FAM120A"
"13724"	"1555948_s_at"	"FAM120A"
"13725"	"200767_s_at"	"FAM120A"
"13726"	"200774_at"	"FAM120A"
"13727"	"210516_at"	"FAM120A"
"13728"	"1555908_at"	"FAM120A"
"13729"	"237004_at"	""
"13730"	"202464_s_at"	"PFKFB3"
"13731"	"234234_at"	""
"13732"	"200943_at"	"HMGN1"
"13733"	"200944_s_at"	"HMGN1"
"13734"	"207797_s_at"	"LRP2BP"
"13735"	"227263_at"	"C8orf58"
"13736"	"230177_at"	""
"13737"	"225723_at"	"CCDC167"
"13738"	"204410_at"	"EIF1AY"
"13739"	"204409_s_at"	"EIF1AY"
"13740"	"216508_x_at"	"HMGB1P4"
"13741"	"200680_x_at"	"HMGB1P4"
"13742"	"241117_at"	"LOXHD1"
"13743"	"220556_at"	"ATP1B4"
"13744"	"243737_at"	"ATP1B4"
"13745"	"204480_s_at"	"C9orf16"
"13746"	"41047_at"	"C9orf16"
"13747"	"222165_x_at"	"C9orf16"
"13748"	"207764_s_at"	"HIPK3"
"13749"	"210148_at"	"HIPK3"
"13750"	"226297_at"	"HIPK3"
"13751"	"227986_at"	"ZNF343"
"13752"	"207296_at"	"ZNF343"
"13753"	"234361_at"	"CREB3L3"
"13754"	"203189_s_at"	"NDUFS8"
"13755"	"203190_at"	"NDUFS8"
"13756"	"232169_x_at"	"NDUFS8"
"13757"	"208671_at"	"SERINC1"
"13758"	"52164_at"	"C11orf24"
"13759"	"218299_at"	"C11orf24"
"13760"	"233617_at"	"PLAGL2"
"13761"	"202924_s_at"	"PLAGL2"
"13762"	"202925_s_at"	"PLAGL2"
"13763"	"221952_x_at"	"TRMT5"
"13764"	"227653_at"	"TRMT5"
"13765"	"241510_at"	"PLSCR2"
"13766"	"207374_at"	"PLSCR2"
"13767"	"216469_at"	""
"13768"	"1561625_at"	""
"13769"	"224133_at"	""
"13770"	"222052_at"	"C19orf54"
"13771"	"208709_s_at"	"NRD1"
"13772"	"206269_at"	"GCM1"
"13773"	"238195_at"	"GCM1"
"13774"	"1553150_at"	"KDM1B"
"13775"	"227021_at"	"KDM1B"
"13776"	"1561223_at"	""
"13777"	"209227_at"	"TUSC3"
"13778"	"213423_x_at"	"TUSC3"
"13779"	"235801_at"	"TUSC3"
"13780"	"209228_x_at"	"TUSC3"
"13781"	"219315_s_at"	"TMEM204"
"13782"	"228947_x_at"	"TMEM204"
"13783"	"222865_x_at"	"TMEM204"
"13784"	"212745_s_at"	"BBS4"
"13785"	"212744_at"	"BBS4"
"13786"	"210317_s_at"	"YWHAE"
"13787"	"210996_s_at"	"YWHAE"
"13788"	"203476_at"	"TPBG"
"13789"	"239903_at"	"TPBG"
"13790"	"217640_x_at"	"SKA1"
"13791"	"228636_at"	"BHLHE22"
"13792"	"244323_at"	"BHLHE22"
"13793"	"217746_s_at"	"PDCD6IP"
"13794"	"222394_at"	"PDCD6IP"
"13795"	"1553006_at"	"ADGRG4"
"13796"	"239216_at"	"TEKT1"
"13797"	"210454_s_at"	"KCNJ6"
"13798"	"232411_at"	"KCNJ6"
"13799"	"213887_s_at"	"POLR2E"
"13800"	"217854_s_at"	"POLR2E"
"13801"	"220422_at"	"UBQLN3"
"13802"	"207172_s_at"	"CDH11"
"13803"	"236179_at"	"CDH11"
"13804"	"207173_x_at"	"CDH11"
"13805"	"239286_at"	"CDH11"
"13806"	"215608_at"	"CDH11"
"13807"	"239769_at"	"CDH11"
"13808"	"241780_at"	"CDH11"
"13809"	"226244_at"	"CLEC14A"
"13810"	"219564_at"	"KCNJ16"
"13811"	"222901_s_at"	"KCNJ16"
"13812"	"1559611_at"	"TMEM75"
"13813"	"223652_at"	"BORCS7-ASMT"
"13814"	"204999_s_at"	"ATF5"
"13815"	"204998_s_at"	"ATF5"
"13816"	"230938_x_at"	"ATF5"
"13817"	"217785_s_at"	"YKT6"
"13818"	"217784_at"	"YKT6"
"13819"	"1555046_at"	"CENPI"
"13820"	"207590_s_at"	"CENPI"
"13821"	"214804_at"	"CENPI"
"13822"	"1564414_a_at"	"PNLDC1"
"13823"	"225514_at"	"NOP9"
"13824"	"1555390_at"	"NOP9"
"13825"	"220130_x_at"	"NOP9"
"13826"	"239924_at"	""
"13827"	"216516_at"	""
"13828"	"218980_at"	"FHOD3"
"13829"	"228489_at"	"TM4SF18"
"13830"	"230061_at"	"TM4SF18"
"13831"	"1560988_a_at"	"LINC00556"
"13832"	"203894_at"	"TUBG2"
"13833"	"202581_at"	"HSPA1B"
"13834"	"200800_s_at"	"HSPA1B"
"13835"	"244499_at"	"THAP2"
"13836"	"223588_at"	"THAP2"
"13837"	"230380_at"	"THAP2"
"13838"	"232737_s_at"	"ENPP3"
"13839"	"222938_x_at"	"ENPP3"
"13840"	"1555367_at"	"ZNF733P"
"13841"	"1555368_x_at"	"ZNF733P"
"13842"	"1562153_a_at"	"PVT1"
"13843"	"216240_at"	"PVT1"
"13844"	"1558290_a_at"	"PVT1"
"13845"	"232057_at"	"SLC7A6OS"
"13846"	"229153_at"	"SLC7A6OS"
"13847"	"220294_at"	"KCNV1"
"13848"	"215736_at"	"KCNV1"
"13849"	"209148_at"	"RXRB"
"13850"	"215099_s_at"	"RXRB"
"13851"	"215098_at"	"RXRB"
"13852"	"219072_at"	"BCL7C"
"13853"	"213420_at"	"DHX57"
"13854"	"239311_at"	"DHX57"
"13855"	"244784_at"	"DHX57"
"13856"	"232109_at"	"UBXN10"
"13857"	"238657_at"	"UBXN10"
"13858"	"230092_at"	"UBXN10"
"13859"	"205936_s_at"	"HK3"
"13860"	"234680_at"	"KRTAP17-1"
