"affy_hg_u133_plus_2"	"hgnc_symbol"
"165"	"227104_x_at"	"ZNF800"
"166"	"227101_at"	"ZNF800"
"167"	"1564776_at"	""
"168"	"244710_at"	"LRGUK"
"169"	"230378_at"	"SCGB3A1"
"170"	"224269_at"	"KRTAP4-12"
"171"	"1569871_at"	""
"172"	"227984_at"	""
"173"	"1558463_s_at"	""
"174"	"1569872_a_at"	""
"175"	"240032_at"	""
"176"	"231402_at"	""
"177"	"241353_s_at"	""
"178"	"212602_at"	"WDFY3"
"179"	"212598_at"	"WDFY3"
"180"	"212606_at"	"WDFY3"
"181"	"238660_at"	"WDFY3"
"182"	"232492_at"	"BVES-AS1"
"183"	"201405_s_at"	"COPS6"
"184"	"213504_at"	"COPS6"
"185"	"205250_s_at"	"CEP290"
"186"	"221683_s_at"	"CEP290"
"187"	"204685_s_at"	"ATP2B2"
"188"	"216120_s_at"	"ATP2B2"
"189"	"239357_at"	"ATP2B2"
"190"	"211586_s_at"	"ATP2B2"
"191"	"234714_x_at"	"ATP2B2"
"192"	"234683_at"	"KRTAP4-6"
"193"	"231458_at"	"LINC00658"
"194"	"1562295_at"	"ADAMTS9-AS2"
"195"	"1556364_at"	"ADAMTS9-AS2"
"196"	"1559296_at"	"ADAMTS9-AS2"
"197"	"210092_at"	"MAGOH"
"198"	"210093_s_at"	"MAGOH"
"199"	"218755_at"	"KIF20A"
"200"	"212180_at"	"CRKL"
"201"	"206184_at"	"CRKL"
"202"	"220059_at"	"STAP1"
"203"	"1554343_a_at"	"STAP1"
"204"	"1563092_at"	""
"205"	"216863_s_at"	"MORC2"
"206"	"203956_at"	"MORC2"
"207"	"228449_at"	"MORC2"
"208"	"205309_at"	"SMPDL3B"
"209"	"1554050_at"	"SMPDL3B"
"210"	"231589_at"	""
"211"	"234637_at"	"KRTAP4-5"
"212"	"224601_at"	"SNHG16"
"213"	"224603_at"	"SNHG16"
"214"	"204174_at"	"ALOX5AP"
"215"	"1570515_a_at"	"FILIP1"
"216"	"1556325_at"	"FILIP1"
"217"	"235183_at"	"FILIP1"
"218"	"231945_at"	"FILIP1"
"219"	"210205_at"	"B3GALT4"
"220"	"216065_at"	"B3GALT4"
"221"	"211050_x_at"	""
"222"	"230673_at"	"PKHD1L1"
"223"	"237281_at"	"AKAP14"
"224"	"237282_s_at"	"AKAP14"
"225"	"242698_at"	"AKAP14"
"226"	"243762_at"	""
"227"	"1570376_at"	"LINC00689"
"228"	"1559712_at"	"LINC00689"
"229"	"223334_at"	"TMEM126A"
"230"	"210166_at"	"TLR5"
"231"	"201571_s_at"	"DCTD"
"232"	"210137_s_at"	"DCTD"
"233"	"201572_x_at"	"DCTD"
"234"	"237325_at"	"DRICH1"
"235"	"219474_at"	"C3orf52"
"236"	"1559021_at"	"C3orf52"
"237"	"227823_at"	"RGAG4"
"238"	"201561_s_at"	"CLSTN1"
"239"	"1566108_at"	""
"240"	"204294_at"	"AMT"
"241"	"208409_at"	"SLC14A2"
"242"	"227271_at"	""
"243"	"231803_at"	""
"244"	"227923_at"	"SHANK3"
"245"	"223877_at"	"C1QTNF7"
"246"	"239349_at"	"C1QTNF7"
"247"	"225121_at"	"TBC1D23"
"248"	"207576_x_at"	"OXT"
"249"	"222795_s_at"	"PLCXD1"
"250"	"218951_s_at"	"PLCXD1"
"251"	"235148_at"	"KRTCAP3"
"252"	"214449_s_at"	"RHOQP2"
"253"	"212117_at"	"RHOQP2"
"254"	"209166_s_at"	"MAN2B1"
"255"	"208739_x_at"	"SUMO2P3"
"256"	"213881_x_at"	"SUMO2P3"
"257"	"237224_at"	"LINC00853"
"258"	"226987_at"	"RBM15B"
"259"	"202689_at"	"RBM15B"
"260"	"223304_at"	"SLC37A3"
"261"	"222480_at"	"UBE2Q1"
"262"	"231816_s_at"	"UBE2Q1"
"263"	"217978_s_at"	"UBE2Q1"
"264"	"201713_s_at"	"RANBP2"
"265"	"201711_x_at"	"RANBP2"
"266"	"226922_at"	"RANBP2"
"267"	"201712_s_at"	"RANBP2"
"268"	"205077_s_at"	""
"269"	"1558474_at"	""
"270"	"242546_at"	"DUXAP9"
"271"	"242881_x_at"	"DUXAP9"
"272"	"234219_at"	""
"273"	"202431_s_at"	"MYC"
"274"	"200961_at"	"SEPHS2"
"275"	"1570268_at"	""
"276"	"1552889_a_at"	"EXOC3L2"
"277"	"235239_at"	"QSOX2"
"278"	"227146_at"	"QSOX2"
"279"	"214657_s_at"	""
"280"	"205770_at"	"GSR"
"281"	"225609_at"	"GSR"
"282"	"223475_at"	"CRISPLD1"
"283"	"227464_at"	"ACSF3"
"284"	"1556552_a_at"	"ACSF3"
"285"	"235823_at"	"ACSF3"
"286"	"204308_s_at"	"TECPR2"
"287"	"204307_at"	"TECPR2"
"288"	"217242_at"	"ZNF154"
"289"	"209443_at"	"SERPINA5"
"290"	"228741_s_at"	"HCN3"
"291"	"218686_s_at"	"RHBDF1"
"292"	"222711_s_at"	"RHBDF1"
"293"	"217148_x_at"	""
"294"	"214355_x_at"	"CTAGE15"
"295"	"228990_at"	"SNORA61"
"296"	"207516_at"	"CHRNB4"
"297"	"214291_at"	"SNORD58C"
"298"	"233157_x_at"	"CCDC114"
"299"	"214047_s_at"	"MBD4"
"300"	"209579_s_at"	"MBD4"
"301"	"209580_s_at"	"MBD4"
"302"	"214048_at"	"MBD4"
"303"	"209576_at"	"GNAI1"
"304"	"227692_at"	"GNAI1"
"305"	"229934_at"	"MIR223"
"306"	"204187_at"	"GMPR"
"307"	"1562653_at"	""
"308"	"1563078_at"	""
"309"	"211099_s_at"	"CNGB1"
"310"	"207342_at"	"CNGB1"
"311"	"210769_at"	"CNGB1"
"312"	"217740_x_at"	"SNORD36B"
"313"	"224930_x_at"	"SNORD36B"
"314"	"205234_at"	"SLC16A4"
"315"	"203349_s_at"	"ETV5"
"316"	"216375_s_at"	"ETV5"
"317"	"203348_s_at"	"ETV5"
"318"	"219883_at"	"TEX40"
"319"	"200775_s_at"	"MIR7-1"
"320"	"232100_at"	"RNF217"
"321"	"235492_at"	"RNF217"
"322"	"226885_at"	"RNF217"
"323"	"223854_at"	"PCDHB10"
"324"	"222029_x_at"	"PFDN6"
"325"	"233588_x_at"	"PFDN6"
"326"	"222019_at"	"PFDN6"
"327"	"242048_at"	"PFDN6"
"328"	"213602_s_at"	""
"329"	"220912_at"	"RN7SL724P"
"330"	"229924_s_at"	""
"331"	"203237_s_at"	"MIR6795"
"332"	"231568_at"	"CT47A7"
"333"	"216952_s_at"	"LMNB2"
"334"	"218188_s_at"	"LMNB2"
"335"	"1569521_s_at"	""
"336"	"1569520_at"	""
"337"	"229782_at"	""
"338"	"236881_at"	""
"339"	"238194_at"	"DGKK"
"340"	"220252_x_at"	"CXorf21"
"341"	"221798_x_at"	"SNORA64"
"342"	"203107_x_at"	"SNORA64"
"343"	"212433_x_at"	"SNORA64"
"344"	"217466_x_at"	"SNORA64"
"345"	"232402_at"	"GOLGA6L11P"
"346"	"209111_at"	"MIR6833"
"347"	"221350_at"	"HOXC8"
